"ID","rodata","data","hora","mandante","visitante","formacao_mandante","formacao_visitante","tecnico_mandante","tecnico_visitante","vencedor","arena","mandante_Placar","visitante_Placar","mandante_Estado","visitante_Estado"
"8406","1","13/04/2024","18:30","Internacional","Bahia","4-4-2","4-4-2","E. Coudet","R. Ceni","Internacional","Estádio Beira-Rio","2","1","RS","BA"
"8407","1","13/04/2024","18:33","Criciuma","Juventude","4-3-1-2","4-4-2","C. Tencati","R. Machado Marques","-","Estádio Heriberto Hülse","1","1","SC","RS"
"8408","1","13/04/2024","21:00","Fluminense","Bragantino","4-2-3-1","4-3-3","F. Diniz Silva","P. Faria Caixinha","-"," Maracanã","2","2","RJ","SP"
"8409","1","13/04/2024","21:03","Sao Paulo","Fortaleza","3-4-1-2","3-5-2","T. Carpini Barbosa","J. Vojvoda","Fortaleza","MorumBIS","1","2","SP","CE"
"8411","1","14/04/2024","16:00","Athletico-PR","Cuiaba","4-1-2-1-2","5-4-1","A. Stival","L. Iubel","Athletico-PR","Ligga Arena","4","0","PR","MT"
"8410","1","14/04/2024","16:02","Vasco","Gremio","4-3-3","4-2-3-1","R. Díaz","Renato Gaúcho","Vasco","Estádio São Januário","2","1","RJ","RS"
"8412","1","14/04/2024","16:02","Atletico-GO","Flamengo","4-1-3-2","4-2-3-1","J. Ribeiro Ventura","A. Bacchi","Flamengo","Estádio Serra Dourada","1","2","GO","RJ"
"8413","1","14/04/2024","16:02","Corinthians","Atletico-MG","4-2-3-1","3-4-1-2","A. Cardoso de Oliveira","G. Milito","-","Neo Química Arena","0","0","SP","MG"
"8414","1","14/04/2024","17:00","Cruzeiro","Botafogo-RJ","4-3-3","4-4-2","F. Seabra","A. Torres Gomes Araújo Amorim","Cruzeiro"," Mineirão","3","2","MG","RJ"
"8415","1","14/04/2024","18:33","Vitoria","Palmeiras","4-3-3","4-2-3-1","L. Condé","A. Moreira Ferreira","Palmeiras"," Barradão","0","1","BA","SP"
"8416","2","16/04/2024","21:31","Bahia","Fluminense","4-2-3-1","4-2-3-1","R. Ceni","F. Diniz Silva","Bahia","Arena Fonte Nova","2","1","BA","RJ"
"8418","2","17/04/2024","19:00","Gremio","Athletico-PR","4-3-3","4-2-3-1","Renato Gaúcho","A. Stival","Gremio","Arena do Grêmio","2","0","RS","PR"
"8417","2","17/04/2024","19:02","Bragantino","Vasco","4-3-3","4-3-3","P. Faria Caixinha","R. Díaz","Bragantino","Nabizão","2","1","SP","RJ"
"8421","2","17/04/2024","19:59","Atletico-MG","Criciuma","4-2-3-1","4-3-2-1","G. Milito","C. Tencati","-","Arena MRV","1","1","MG","SC"
"8419","2","17/04/2024","20:00","Fortaleza","Cruzeiro","3-5-2","4-3-3","J. Vojvoda","F. Seabra","-","Arena Castelão","1","1","CE","MG"
